method,goal_type,horizon_steps,horizon_seconds,goal_update_period,episodes,success,success_ci_low,success_ci_high,final_reward,max_reward,teacher_action_mae,one_step_tcp_subgoal_error_m,high_level_decisions_per_episode,branch_generation_latency_s,replay_current_state_error_max
flat,flat,10,0.5,0,100,0.16,0.10095288488804782,0.24420269389270244,0.3814902107324451,0.40090966403484346,0.1703769651105475,,0.0,0.0,0.0
oracle_held_goal,tcp,10,0.5,1,100,0.69,0.5937394428051057,0.7722030278762395,0.7834085342288017,0.7880787454545498,0.06203268109786836,0.10531032139970459,59.67,1.3151210873622257,0.0
oracle_held_goal,tcp,10,0.5,2,100,0.71,0.6146110882442888,0.7898516425087772,0.7981017841398717,0.8013399814069271,0.05526585130757798,0.10548210743710187,29.19,1.3605963732738746,0.0
oracle_held_goal,tcp,10,0.5,5,100,0.69,0.5937394428051057,0.7722030278762395,0.7864633017778396,0.7894203609228134,0.05248528548706304,0.09100697737441407,12.46,1.3206147585144208,0.0
oracle_held_goal,tcp,10,0.5,10,100,0.81,0.7222115462093562,0.8748524849023126,0.8660726034641266,0.8703978437185288,0.05539210957123732,0.07270638242989774,6.25,1.306250613105658,0.0
