distribution,samples,endpoint_error_l2_m,prediction_induced_action_l2,endpoint_induced_action_pearson,endpoint_induced_action_spearman
teacher,5000,0.01754775457084179,0.0015568963717669249,0.7530036886745342,0.7096515185940606
recovery,5000,0.06107959523797035,0.007988104596734047,0.8396629374380928,0.8710330445693217
flat_visited,126,0.03478229285350868,0.004503465897955937,0.9048178786621355,0.742536182977128
hierarchy_visited,140,0.03724696268826457,0.004659059963004048,0.7551891793978849,0.7945857295926179
