representation,dimension,active_dimensions_std_gt_0_1,vae_kl_mean_per_dimension,decoded_interpolation_linear_mse,pair_object_xy_spearman,pair_object_yaw_spearman,pair_tcp_xy_spearman,pair_teacher_action_spearman,transition_object_xy_spearman,transition_tcp_xy_spearman,transition_action_effort_spearman,nearest_object_xy_error_m,nearest_object_yaw_error_rad,nearest_tcp_xy_error_m,nearest_teacher_action_mae,nearest_contact_match
raw_dino_proprio,6549,6544,,,0.6267977905209944,0.5873250937078127,0.7962332488605831,0.5789293988173234,0.17832096602306224,0.8890492979378423,0.8483367632315052,0.00459532393142581,0.028330737724900246,0.009528341703116894,0.1006641611456871,0.926
ae_recon_z256,256,256,,0.0556369349360466,0.7042309136950772,0.6357962160714904,0.7010612696931531,0.6277721045794302,0.1430647086810049,0.8336389031711035,0.879729333963398,0.004870251752436161,0.025984779000282288,0.00883970595896244,0.06713631004095078,0.948
vae_recon_z256,256,256,3.2468020915985107,0.04588181897997856,0.7132378765735946,0.6567987295029968,0.6729110109667774,0.6214751542001878,0.17534474823850518,0.8847390662065213,0.8978079938667222,0.004341195337474346,0.02339567430317402,0.008859014138579369,0.07740605622529984,0.938
