method,success,ci_low,ci_high
raw learned TCP goal,0.71,0.6146110882442888,0.7898516425087772
raw branch-oracle TCP goal,0.71,0.6146110882442888,0.7898516425087772
AE-256 learned TCP goal,0.53,0.4328885697009936,0.6248918204065872
